id,remark,sex,age_range,dept,account_type,company_code,ria_nickname,district,zichao,yewu,chongzhi,jiaofei,baoxiu,yehuaqi,fankui
363,1,0,2,0,0,4,1,2,12,0,0,8,0,0,0
364,1,1,2,0,0,4,1,2,18,0,0,5,0,0,0
365,1,0,3,0,0,4,1,7,16,0,0,1,0,0,0
366,1,0,5,0,0,4,1,7,8,0,0,9,0,0,0
367,1,1,2,0,0,4,0,6,7,2,0,0,0,0,0
368,1,0,3,0,0,4,1,6,18,0,0,3,0,0,1
369,1,0,3,0,0,4,1,9,9,0,0,18,0,0,0
370,1,0,2,0,0,4,1,6,14,0,0,3,0,0,0
371,1,0,2,0,0,4,1,2,14,2,0,0,0,0,0
372,1,1,5,0,0,4,3,6,8,0,0,0,0,0,0
373,1,0,2,0,0,4,1,2,11,0,0,0,0,0,0
374,1,0,4,0,0,4,1,14,9,0,0,0,0,0,0
375,1,1,2,0,0,4,1,14,14,0,0,4,0,0,0
376,1,1,2,0,0,4,0,2,18,0,0,22,0,0,0
377,1,0,2,0,0,4,1,2,13,0,0,0,0,0,0
378,1,0,4,0,0,4,1,2,6,0,0,0,0,0,0
379,1,0,1,0,0,4,0,7,13,0,0,21,0,0,0
380,1,1,5,0,0,4,1,2,6,0,0,9,0,0,0
381,1,0,3,0,0,4,1,1,16,0,0,9,1,0,0
382,1,0,3,0,0,4,0,14,7,0,0,4,0,0,0
383,1,0,2,0,0,4,0,6,26,0,0,3,0,0,0
384,1,0,5,0,0,4,0,2,17,0,0,13,0,0,0
385,1,0,2,0,0,4,0,2,8,0,0,4,0,0,0
386,1,0,2,0,0,4,0,6,8,1,0,1,0,0,0
387,1,1,2,0,0,4,1,14,15,0,0,0,0,0,0
388,1,1,1,0,0,4,1,14,7,0,0,1,0,0,0
389,2,1,5,0,0,4,3,7,16,0,0,14,0,0,0
390,1,0,3,0,0,4,2,6,11,0,0,14,0,0,0
391,1,0,2,0,0,4,1,2,12,0,0,4,0,0,0
392,1,0,3,0,0,4,1,14,18,0,0,0,0,0,0
393,1,0,4,0,0,4,1,4,13,0,0,9,0,0,0
394,1,0,3,0,0,4,0,14,15,0,0,1,0,0,0
395,1,0,2,0,0,4,0,1,17,0,0,0,0,0,0
396,1,1,3,0,0,4,1,6,6,0,0,0,0,0,0
397,1,1,5,0,0,4,1,1,20,0,0,6,0,0,0
398,1,0,2,0,0,4,0,2,6,0,0,8,0,0,0
399,1,1,2,0,0,4,2,14,10,0,0,0,0,0,0
400,1,0,2,0,0,4,1,6,8,0,0,3,0,0,0
401,1,0,5,0,0,4,4,2,6,0,0,2,0,0,0
402,1,0,4,0,0,4,1,2,11,0,0,15,0,0,0
403,1,0,1,0,0,4,1,1,5,1,0,2,0,0,0
404,1,0,3,0,0,4,1,1,12,0,0,6,0,0,0
405,1,0,3,0,0,4,3,2,6,0,0,12,0,0,0
406,1,0,2,0,0,4,0,2,14,0,0,7,1,0,0
407,1,0,2,0,0,4,0,4,22,0,0,6,0,0,0
408,1,0,1,0,0,4,2,6,16,0,0,6,0,0,0
409,1,1,2,0,0,4,2,2,12,0,0,8,1,0,0
410,1,0,5,0,0,4,0,2,26,0,0,2,0,0,0
411,1,0,2,0,0,4,0,1,8,0,0,1,0,0,0
412,1,0,4,0,0,4,1,9,0,9,1,6,0,0,0
413,1,1,3,0,0,4,2,14,15,0,0,3,0,0,0
414,1,1,3,0,0,4,1,7,8,0,0,10,0,0,0
415,1,0,2,0,0,4,1,2,17,0,1,2,0,0,0
416,1,0,1,0,0,4,1,6,9,0,0,16,0,0,0
417,1,0,1,0,0,4,1,7,18,1,0,14,0,0,0
418,1,1,5,0,0,4,0,14,11,0,0,2,0,0,0
419,1,1,3,0,0,4,1,7,11,0,0,0,0,0,0
420,1,0,2,0,0,4,1,14,14,0,0,6,0,0,0
421,1,0,3,0,0,4,1,7,11,0,0,5,0,0,0
422,1,1,3,0,0,4,0,2,8,0,0,7,0,0,0
423,1,1,1,0,0,4,1,7,13,0,0,2,0,0,0
424,1,1,3,0,0,4,0,7,14,0,0,13,0,0,0
425,1,1,2,0,0,4,4,6,26,0,0,7,0,0,1
426,1,0,2,0,0,4,1,14,10,0,0,6,0,0,0
427,1,0,2,0,0,4,0,2,17,0,0,4,0,0,0
428,2,0,5,0,0,4,0,7,19,0,0,3,0,0,0
